"New Flake ID","Blade","Convflake","Flake","Sum","Sum.1","N Analysts","variable"
"1",0,0,50,50,100,11,"flake form"
"2",0,10,40,50,100,10,"flake form"
"3",5,0,45,50,100,11,"flake form"
"4",5,0,45,50,100,11,"flake form"
"5",0,0,50,50,100,11,"flake form"
"6",0,18,32,50,100,11,"flake form"
"7",0,0,50,50,100,11,"flake form"
"8",5,0,45,50,100,11,"flake form"
"9",0,0,50,50,100,11,"flake form"
"10",0,0,50,50,100,8,"flake form"
"11",5,0,45,50,100,11,"flake form"
"12",0,0,50,50,100,11,"flake form"
"13",0,0,50,50,100,11,"flake form"
"14",0,5,45,50,100,11,"flake form"
"15",0,0,50,50,100,11,"flake form"
"16",32,0,18,50,100,11,"flake form"
"17",0,0,50,50,100,10,"flake form"
"18",0,0,50,50,100,11,"flake form"
"19",14,0,36,50,100,11,"flake form"
"20",0,0,50,50,100,11,"flake form"
"21",5,0,45,50,100,11,"flake form"
"22",0,0,50,50,100,11,"flake form"
"23",9,5,36,50,100,11,"flake form"
"24",0,0,50,50,100,10,"flake form"
"25",0,27,23,50,100,11,"flake form"
"26",0,0,50,50,100,11,"flake form"
"27",0,0,50,50,100,11,"flake form"
"28",25,0,25,50,100,10,"flake form"
"29",5,0,45,50,100,11,"flake form"
"30",23,0,27,50,100,11,"flake form"
"31",0,27,23,50,100,11,"flake form"
"32",41,0,9,50,100,11,"flake form"
"33",0,41,9,50,100,11,"flake form"
"34",0,0,50,50,100,11,"flake form"
"35",45,0,5,50,100,11,"flake form"
"36",9,0,41,50,100,11,"flake form"
"37",0,32,18,50,100,11,"flake form"
"38",5,0,45,50,100,11,"flake form"
"39",5,0,45,50,100,11,"flake form"
"40",14,36,0,50,100,11,"flake form"
"41",0,0,50,50,100,11,"flake form"
"42",0,0,50,50,100,9,"flake form"
"43",0,0,50,50,100,11,"flake form"
"44",32,9,9,50,100,11,"flake form"
"45",0,0,50,50,100,11,"flake form"
"46",9,0,41,50,100,11,"flake form"
"47",0,0,50,50,100,9,"flake form"
"48",0,11,39,50,100,9,"flake form"
"49",45,0,5,50,100,11,"flake form"
"50",19,0,31,50,100,8,"flake form"
"51",0,5,45,50,100,11,"flake form"
"52",14,0,36,50,100,7,"flake form"
"53",0,0,50,50,100,10,"flake form"
"54",0,0,50,50,100,11,"flake form"
"55",0,0,50,50,100,10,"flake form"
"56",0,0,50,50,100,11,"flake form"
"57",0,0,50,50,100,11,"flake form"
"58",36,0,14,50,100,11,"flake form"
"59",0,0,50,50,100,11,"flake form"
"60",9,0,41,50,100,11,"flake form"
"61",0,0,50,50,100,11,"flake form"
"62",0,0,50,50,100,11,"flake form"
"63",0,0,50,50,100,10,"flake form"
"64",0,0,50,50,100,11,"flake form"
"65",0,0,50,50,100,11,"flake form"
"66",5,0,45,50,100,10,"flake form"
"67",0,14,36,50,100,11,"flake form"
"68",9,0,41,50,100,11,"flake form"
"69",0,0,50,50,100,11,"flake form"
"70",0,18,32,50,100,11,"flake form"
"71",0,0,50,50,100,11,"flake form"
"72",0,0,50,50,100,10,"flake form"
"73",0,0,50,50,100,11,"flake form"
"74",0,0,50,50,100,11,"flake form"
"75",0,18,32,50,100,11,"flake form"
"76",0,0,50,50,100,11,"flake form"
"77",0,0,50,50,100,11,"flake form"
"78",5,0,45,50,100,11,"flake form"
"79",0,0,50,50,100,11,"flake form"
"80",18,0,32,50,100,11,"flake form"
"81",0,5,45,50,100,10,"flake form"
"82",27,0,23,50,100,11,"flake form"
"83",0,0,50,50,100,11,"flake form"
"84",0,0,50,50,100,11,"flake form"
"85",32,0,18,50,100,11,"flake form"
"86",9,0,41,50,100,11,"flake form"
"87",0,0,50,50,100,10,"flake form"
"88",11,0,39,50,100,9,"flake form"
"90",0,45,5,50,100,11,"flake form"
"91",0,0,50,50,100,11,"flake form"
"92",14,0,36,50,100,11,"flake form"
"93",27,0,23,50,100,11,"flake form"
"94",0,0,50,50,100,6,"flake form"
"95",12,0,38,50,100,8,"flake form"
"96",10,0,40,50,100,10,"flake form"
"98",7,0,43,50,100,7,"flake form"
"99",0,0,50,50,100,5,"flake form"
