"New Flake ID","Axial","Crushed","Feather","Hinge","Overshot","Sum","Sum.1","N Analysts","variable"
"1",0,0,50,0,0,50,100,11,"flake termination"
"2",10,10,20,10,0,50,100,5,"flake termination"
"3",0,0,36,5,9,50,100,11,"flake termination"
"4",0,5,45,0,0,50,100,10,"flake termination"
"5",0,5,45,0,0,50,100,11,"flake termination"
"6",0,0,50,0,0,50,100,11,"flake termination"
"7",0,0,50,0,0,50,100,11,"flake termination"
"8",0,0,45,0,5,50,100,11,"flake termination"
"9",0,0,50,0,0,50,100,11,"flake termination"
"10",0,0,33,17,0,50,100,9,"flake termination"
"11",0,0,36,14,0,50,100,11,"flake termination"
"12",0,0,50,0,0,50,100,11,"flake termination"
"13",0,0,5,45,0,50,100,11,"flake termination"
"14",0,0,36,14,0,50,100,11,"flake termination"
"15",0,0,14,36,0,50,100,11,"flake termination"
"16",0,0,36,0,14,50,100,11,"flake termination"
"17",5,0,45,0,0,50,100,10,"flake termination"
"18",0,0,50,0,0,50,100,11,"flake termination"
"19",5,0,45,0,0,50,100,11,"flake termination"
"20",0,0,36,14,0,50,100,11,"flake termination"
"21",0,15,35,0,0,50,100,10,"flake termination"
"22",0,5,41,5,0,50,101,11,"flake termination"
"23",0,0,39,11,0,50,100,9,"flake termination"
"24",0,0,40,10,0,50,100,5,"flake termination"
"25",0,0,50,0,0,50,100,11,"flake termination"
"26",0,0,50,0,0,50,100,7,"flake termination"
"27",6,0,33,0,11,50,100,9,"flake termination"
"28",0,0,50,0,0,50,100,10,"flake termination"
"29",6,0,39,6,0,50,101,9,"flake termination"
"30",0,7,29,14,0,50,100,7,"flake termination"
"31",0,0,50,0,0,50,100,10,"flake termination"
"32",0,0,50,0,0,50,100,11,"flake termination"
"33",0,0,50,0,0,50,100,11,"flake termination"
"34",0,0,50,0,0,50,100,11,"flake termination"
"35",0,0,50,0,0,50,100,11,"flake termination"
"36",0,0,50,0,0,50,100,11,"flake termination"
"37",0,0,50,0,0,50,100,11,"flake termination"
"38",0,0,50,0,0,50,100,11,"flake termination"
"39",0,0,50,0,0,50,100,11,"flake termination"
"40",0,0,50,0,0,50,100,11,"flake termination"
"41",0,0,50,0,0,50,100,11,"flake termination"
"42",0,0,30,20,0,50,100,5,"flake termination"
"43",0,0,50,0,0,50,100,11,"flake termination"
"44",17,0,33,0,0,50,100,9,"flake termination"
"45",0,0,50,0,0,50,100,10,"flake termination"
"46",0,0,27,23,0,50,100,11,"flake termination"
"47",0,0,36,7,7,50,100,7,"flake termination"
"48",0,5,45,0,0,50,100,10,"flake termination"
"49",0,0,45,5,0,50,100,11,"flake termination"
"50",0,0,12,25,12,50,99,4,"flake termination"
"51",0,0,45,5,0,50,100,11,"flake termination"
"52",7,0,29,14,0,50,100,7,"flake termination"
"53",0,0,18,32,0,50,100,11,"flake termination"
"54",0,0,0,50,0,50,100,11,"flake termination"
"55",0,0,5,40,5,50,100,10,"flake termination"
"56",0,0,45,5,0,50,100,11,"flake termination"
"57",0,0,50,0,0,50,100,11,"flake termination"
"58",0,0,44,0,6,50,100,9,"flake termination"
"59",0,0,27,23,0,50,100,11,"flake termination"
"60",0,0,23,5,23,50,101,11,"flake termination"
"61",0,0,50,0,0,50,100,9,"flake termination"
"62",0,0,45,0,5,50,100,11,"flake termination"
"63",0,0,50,0,0,50,100,10,"flake termination"
"64",0,0,50,0,0,50,100,11,"flake termination"
"65",0,0,50,0,0,50,100,11,"flake termination"
"66",0,0,36,14,0,50,100,11,"flake termination"
"67",0,0,50,0,0,50,100,11,"flake termination"
"68",9,0,36,0,5,50,100,11,"flake termination"
"69",6,0,39,0,6,50,101,9,"flake termination"
"70",0,0,41,5,5,50,101,11,"flake termination"
"71",0,0,41,0,9,50,100,11,"flake termination"
"72",0,0,50,0,0,50,100,11,"flake termination"
"73",0,0,41,9,0,50,100,11,"flake termination"
"74",0,0,45,5,0,50,100,11,"flake termination"
"75",0,0,50,0,0,50,100,11,"flake termination"
"76",10,0,30,0,10,50,100,10,"flake termination"
"77",0,0,40,0,10,50,100,10,"flake termination"
"78",0,0,50,0,0,50,100,11,"flake termination"
"79",0,0,45,0,5,50,100,11,"flake termination"
"80",0,0,32,0,18,50,100,11,"flake termination"
"81",5,0,45,0,0,50,100,11,"flake termination"
"82",0,0,41,5,5,50,101,11,"flake termination"
"83",0,0,23,27,0,50,100,11,"flake termination"
"84",0,0,45,0,5,50,100,11,"flake termination"
"85",0,0,45,0,5,50,100,10,"flake termination"
"86",0,0,0,50,0,50,100,11,"flake termination"
"87",0,6,39,0,6,50,101,9,"flake termination"
"88",0,0,30,10,10,50,100,5,"flake termination"
"90",0,0,50,0,0,50,100,11,"flake termination"
"91",0,0,50,0,0,50,100,10,"flake termination"
"92",0,0,40,10,0,50,100,10,"flake termination"
"93",0,0,39,0,11,50,100,9,"flake termination"
"94",0,0,33,17,0,50,100,3,"flake termination"
"95",10,0,30,0,10,50,100,5,"flake termination"
"96",0,0,9,41,0,50,100,11,"flake termination"
"98",17,0,8,8,17,50,100,6,"flake termination"
"99",0,0,25,12,12,50,99,4,"flake termination"
