"New Flake ID","Absent","Complete","Partial","Sum","N Analysts","variable"
"1",100,0,0,100,11,"platform cortex"
"2",100,0,0,100,11,"platform cortex"
"3",9,73,18,100,11,"platform cortex"
"4",100,0,0,100,11,"platform cortex"
"5",20,20,60,100,5,"platform cortex"
"6",100,0,0,100,11,"platform cortex"
"7",100,0,0,100,11,"platform cortex"
"8",100,0,0,100,11,"platform cortex"
"9",0,100,0,100,11,"platform cortex"
"10",0,100,0,100,2,"platform cortex"
"11",100,0,0,100,11,"platform cortex"
"12",100,0,0,100,11,"platform cortex"
"13",100,0,0,100,11,"platform cortex"
"14",100,0,0,100,11,"platform cortex"
"15",100,0,0,100,11,"platform cortex"
"16",100,0,0,100,11,"platform cortex"
"17",0,67,33,100,9,"platform cortex"
"18",100,0,0,100,8,"platform cortex"
"19",100,0,0,100,11,"platform cortex"
"20",100,0,0,100,11,"platform cortex"
"21",100,0,0,100,9,"platform cortex"
"22",100,0,0,100,11,"platform cortex"
"23",100,0,0,100,11,"platform cortex"
"24",100,0,0,100,11,"platform cortex"
"25",100,0,0,100,11,"platform cortex"
"26",91,0,9,100,11,"platform cortex"
"27",100,0,0,100,7,"platform cortex"
"28",100,0,0,100,10,"platform cortex"
"29",100,0,0,100,11,"platform cortex"
"30",100,0,0,100,11,"platform cortex"
"31",100,0,0,100,11,"platform cortex"
"32",100,0,0,100,11,"platform cortex"
"33",100,0,0,100,11,"platform cortex"
"34",100,0,0,100,9,"platform cortex"
"35",100,0,0,100,11,"platform cortex"
"36",100,0,0,100,11,"platform cortex"
"37",100,0,0,100,11,"platform cortex"
"38",100,0,0,100,11,"platform cortex"
"39",100,0,0,100,11,"platform cortex"
"40",100,0,0,100,11,"platform cortex"
"41",100,0,0,100,11,"platform cortex"
"42",100,0,0,100,10,"platform cortex"
"43",100,0,0,100,11,"platform cortex"
"44",100,0,0,100,11,"platform cortex"
"45",100,0,0,100,11,"platform cortex"
"46",100,0,0,100,11,"platform cortex"
"47",100,0,0,100,7,"platform cortex"
"48",100,0,0,100,3,"platform cortex"
"49",100,0,0,100,11,"platform cortex"
"50",NA,NA,NA,NA,0,"platform cortex"
"51",100,0,0,100,11,"platform cortex"
"52",100,0,0,100,9,"platform cortex"
"53",100,0,0,100,11,"platform cortex"
"54",100,0,0,100,11,"platform cortex"
"55",100,0,0,100,9,"platform cortex"
"56",0,73,27,100,11,"platform cortex"
"57",100,0,0,100,11,"platform cortex"
"58",100,0,0,100,10,"platform cortex"
"59",100,0,0,100,11,"platform cortex"
"60",90,10,0,100,10,"platform cortex"
"61",0,100,0,100,11,"platform cortex"
"62",64,0,36,100,11,"platform cortex"
"63",0,78,22,100,9,"platform cortex"
"64",100,0,0,100,11,"platform cortex"
"65",100,0,0,100,11,"platform cortex"
"66",91,0,9,100,11,"platform cortex"
"67",38,25,38,101,8,"platform cortex"
"68",91,9,0,100,11,"platform cortex"
"69",100,0,0,100,11,"platform cortex"
"70",100,0,0,100,11,"platform cortex"
"71",91,9,0,100,11,"platform cortex"
"72",100,0,0,100,11,"platform cortex"
"73",91,0,9,100,11,"platform cortex"
"74",100,0,0,100,11,"platform cortex"
"75",91,9,0,100,11,"platform cortex"
"76",100,0,0,100,11,"platform cortex"
"77",91,9,0,100,11,"platform cortex"
"78",100,0,0,100,11,"platform cortex"
"79",100,0,0,100,11,"platform cortex"
"80",100,0,0,100,8,"platform cortex"
"81",50,50,0,100,2,"platform cortex"
"82",100,0,0,100,11,"platform cortex"
"83",100,0,0,100,11,"platform cortex"
"84",100,0,0,100,10,"platform cortex"
"85",100,0,0,100,5,"platform cortex"
"86",100,0,0,100,11,"platform cortex"
"87",100,0,0,100,2,"platform cortex"
"88",100,0,0,100,2,"platform cortex"
"90",100,0,0,100,11,"platform cortex"
"91",100,0,0,100,11,"platform cortex"
"92",100,0,0,100,4,"platform cortex"
"93",100,0,0,100,10,"platform cortex"
"94",100,0,0,100,2,"platform cortex"
"95",100,0,0,100,1,"platform cortex"
"96",100,0,0,100,11,"platform cortex"
"98",100,0,0,100,6,"platform cortex"
"99",0,100,0,100,1,"platform cortex"
