"New Flake ID","ChapeauDeGendarme","Cortical","Crushed","Dihedral","Facetted","Indeterminate","Linear","Other","Plain","Punctiform","Sum","N Analysts","variable"
"1",0,0,0,0,9,9,9,9,64,0,100,11,"platform morphology"
"2",55,0,0,0,36,0,0,9,0,0,100,11,"platform morphology"
"3",0,73,9,0,0,0,0,0,18,0,100,11,"platform morphology"
"4",0,0,0,0,9,9,0,9,73,0,100,11,"platform morphology"
"5",10,0,50,0,0,20,0,20,0,0,100,10,"platform morphology"
"6",9,0,0,55,9,0,0,0,27,0,100,11,"platform morphology"
"7",0,0,0,27,0,0,0,0,73,0,100,11,"platform morphology"
"8",0,0,0,0,90,0,0,10,0,0,100,10,"platform morphology"
"9",0,91,0,0,0,0,0,0,9,0,100,11,"platform morphology"
"10",0,40,0,0,0,40,20,0,0,0,100,5,"platform morphology"
"11",9,0,0,73,9,0,0,0,9,0,100,11,"platform morphology"
"12",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"13",0,0,9,0,82,0,0,0,9,0,100,11,"platform morphology"
"14",0,0,0,55,27,9,0,0,9,0,100,11,"platform morphology"
"15",0,0,0,45,45,0,0,0,9,0,99,11,"platform morphology"
"16",0,0,0,64,0,0,0,0,36,0,100,11,"platform morphology"
"17",0,30,10,0,0,30,0,10,10,10,100,10,"platform morphology"
"18",0,0,10,10,10,10,0,10,50,0,100,10,"platform morphology"
"19",0,0,0,55,0,0,0,0,45,0,100,11,"platform morphology"
"20",0,0,9,27,55,0,0,0,9,0,100,11,"platform morphology"
"21",0,0,27,0,9,0,0,0,64,0,100,11,"platform morphology"
"22",0,0,18,9,0,0,0,0,73,0,100,11,"platform morphology"
"23",0,0,18,18,9,0,0,9,45,0,99,11,"platform morphology"
"24",27,0,0,0,73,0,0,0,0,0,100,11,"platform morphology"
"25",0,0,0,91,9,0,0,0,0,0,100,11,"platform morphology"
"26",0,0,0,9,0,0,0,0,91,0,100,11,"platform morphology"
"27",0,0,57,0,14,14,0,0,14,0,99,7,"platform morphology"
"28",0,0,0,40,0,0,0,0,60,0,100,10,"platform morphology"
"29",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"30",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"31",9,0,0,0,91,0,0,0,0,0,100,11,"platform morphology"
"32",0,0,0,18,82,0,0,0,0,0,100,11,"platform morphology"
"33",36,0,0,45,9,0,0,9,0,0,99,11,"platform morphology"
"34",0,0,0,0,9,18,55,0,9,9,100,11,"platform morphology"
"35",0,0,9,0,82,0,0,9,0,0,100,11,"platform morphology"
"36",0,0,18,18,9,0,9,18,27,0,99,11,"platform morphology"
"37",0,0,0,0,9,0,0,0,91,0,100,11,"platform morphology"
"38",9,0,0,36,45,0,0,9,0,0,99,11,"platform morphology"
"39",0,0,0,0,18,0,0,0,82,0,100,11,"platform morphology"
"40",0,0,0,0,0,0,9,0,64,27,100,11,"platform morphology"
"41",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"42",0,0,9,27,64,0,0,0,0,0,100,11,"platform morphology"
"43",45,0,0,9,0,0,9,9,27,0,99,11,"platform morphology"
"44",0,0,0,18,18,0,0,9,55,0,100,11,"platform morphology"
"45",0,0,0,55,9,0,0,0,36,0,100,11,"platform morphology"
"46",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"47",17,0,67,0,0,0,0,0,17,0,101,6,"platform morphology"
"48",0,25,25,0,0,25,0,0,25,0,100,4,"platform morphology"
"49",0,0,9,9,55,0,0,9,18,0,100,11,"platform morphology"
"50",0,0,0,0,75,25,0,0,0,0,100,4,"platform morphology"
"51",0,0,0,0,0,9,0,0,91,0,100,11,"platform morphology"
"52",0,12,12,0,0,0,0,0,75,0,99,8,"platform morphology"
"53",0,0,0,0,0,0,0,0,100,0,100,10,"platform morphology"
"54",18,0,0,0,0,0,9,9,64,0,100,11,"platform morphology"
"55",11,0,0,0,0,0,0,0,89,0,100,9,"platform morphology"
"56",0,73,0,0,0,0,0,0,18,9,100,11,"platform morphology"
"57",36,0,0,0,0,0,0,0,64,0,100,11,"platform morphology"
"58",0,0,0,0,0,9,0,0,91,0,100,11,"platform morphology"
"59",0,0,0,55,0,0,0,0,45,0,100,11,"platform morphology"
"60",0,0,45,0,0,36,0,9,9,0,99,11,"platform morphology"
"61",0,64,0,0,0,9,0,0,27,0,100,11,"platform morphology"
"62",0,0,0,18,9,0,0,18,55,0,100,11,"platform morphology"
"63",0,60,10,0,0,10,0,0,20,0,100,10,"platform morphology"
"64",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"65",0,0,0,0,0,9,0,0,91,0,100,11,"platform morphology"
"66",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"67",0,36,18,0,9,27,0,9,0,0,99,11,"platform morphology"
"68",0,0,0,100,0,0,0,0,0,0,100,11,"platform morphology"
"69",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"70",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"71",0,0,0,0,18,0,0,0,82,0,100,11,"platform morphology"
"72",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"73",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"74",0,0,0,0,0,9,9,0,82,0,100,11,"platform morphology"
"75",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"76",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"77",0,0,0,91,0,0,0,0,9,0,100,11,"platform morphology"
"78",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"79",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"80",0,0,0,0,0,36,45,0,9,9,99,11,"platform morphology"
"81",0,0,0,0,0,40,0,0,60,0,100,5,"platform morphology"
"82",0,0,0,0,0,0,0,0,91,9,100,11,"platform morphology"
"83",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"84",0,0,0,0,0,9,18,0,64,9,100,11,"platform morphology"
"85",0,0,44,0,0,44,0,0,0,11,99,9,"platform morphology"
"86",0,0,9,0,0,0,0,0,91,0,100,11,"platform morphology"
"87",0,0,0,0,0,50,17,0,33,0,100,6,"platform morphology"
"88",0,0,0,0,0,20,0,0,80,0,100,5,"platform morphology"
"90",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"91",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"92",0,0,40,0,0,30,0,0,20,10,100,10,"platform morphology"
"93",0,0,0,0,0,9,0,0,82,9,100,11,"platform morphology"
"94",0,0,0,0,0,25,0,0,75,0,100,4,"platform morphology"
"95",0,0,0,0,0,20,20,20,40,0,100,5,"platform morphology"
"96",0,0,0,0,0,0,0,0,100,0,100,11,"platform morphology"
"98",0,0,0,17,0,17,0,0,67,0,101,6,"platform morphology"
"99",0,25,0,0,0,0,0,0,75,0,100,4,"platform morphology"
