"New Flake ID","Indeterminate","No","Yes","Sum","N Analysts","variable"
"1",0,91,9,100,11,"shattbulb"
"2",0,73,27,100,11,"shattbulb"
"3",0,64,36,100,11,"shattbulb"
"4",0,100,0,100,11,"shattbulb"
"5",27,36,36,99,11,"shattbulb"
"6",0,100,0,100,11,"shattbulb"
"7",0,82,18,100,11,"shattbulb"
"8",0,100,0,100,11,"shattbulb"
"9",0,91,9,100,11,"shattbulb"
"10",71,14,14,99,7,"shattbulb"
"11",0,18,82,100,11,"shattbulb"
"12",0,100,0,100,11,"shattbulb"
"13",0,73,27,100,11,"shattbulb"
"14",0,82,18,100,11,"shattbulb"
"15",0,73,27,100,11,"shattbulb"
"16",0,100,0,100,11,"shattbulb"
"17",0,0,100,100,10,"shattbulb"
"18",10,70,20,100,10,"shattbulb"
"19",0,100,0,100,11,"shattbulb"
"20",0,91,9,100,11,"shattbulb"
"21",9,91,0,100,11,"shattbulb"
"22",0,64,36,100,11,"shattbulb"
"23",0,55,45,100,11,"shattbulb"
"24",0,55,45,100,11,"shattbulb"
"25",0,73,27,100,11,"shattbulb"
"26",0,100,0,100,11,"shattbulb"
"27",30,20,50,100,10,"shattbulb"
"28",0,70,30,100,10,"shattbulb"
"29",9,55,36,100,11,"shattbulb"
"30",0,100,0,100,11,"shattbulb"
"31",0,91,9,100,11,"shattbulb"
"32",0,73,27,100,11,"shattbulb"
"33",0,64,36,100,11,"shattbulb"
"34",0,100,0,100,11,"shattbulb"
"35",0,73,27,100,11,"shattbulb"
"36",0,60,40,100,10,"shattbulb"
"37",0,73,27,100,11,"shattbulb"
"38",0,100,0,100,11,"shattbulb"
"39",0,91,9,100,11,"shattbulb"
"40",0,82,18,100,11,"shattbulb"
"41",0,64,36,100,11,"shattbulb"
"42",0,9,91,100,11,"shattbulb"
"43",0,91,9,100,11,"shattbulb"
"44",0,91,9,100,11,"shattbulb"
"45",0,82,18,100,11,"shattbulb"
"46",0,100,0,100,11,"shattbulb"
"47",33,33,33,99,9,"shattbulb"
"48",86,14,0,100,7,"shattbulb"
"49",0,82,18,100,11,"shattbulb"
"50",71,29,0,100,7,"shattbulb"
"51",9,82,9,100,11,"shattbulb"
"52",14,71,14,99,7,"shattbulb"
"53",0,100,0,100,11,"shattbulb"
"54",0,91,9,100,11,"shattbulb"
"55",0,70,30,100,10,"shattbulb"
"56",0,91,9,100,11,"shattbulb"
"57",9,73,18,100,11,"shattbulb"
"58",0,100,0,100,11,"shattbulb"
"59",0,91,9,100,11,"shattbulb"
"60",18,73,9,100,11,"shattbulb"
"61",9,82,9,100,11,"shattbulb"
"62",0,82,18,100,11,"shattbulb"
"63",0,90,10,100,10,"shattbulb"
"64",9,64,27,100,11,"shattbulb"
"65",0,73,27,100,11,"shattbulb"
"66",0,100,0,100,11,"shattbulb"
"67",0,91,9,100,11,"shattbulb"
"68",0,100,0,100,11,"shattbulb"
"69",0,91,9,100,11,"shattbulb"
"70",9,55,36,100,11,"shattbulb"
"71",0,91,9,100,11,"shattbulb"
"72",0,82,18,100,11,"shattbulb"
"73",0,91,9,100,11,"shattbulb"
"74",0,45,55,100,11,"shattbulb"
"75",9,64,27,100,11,"shattbulb"
"76",9,55,36,100,11,"shattbulb"
"77",0,73,27,100,11,"shattbulb"
"78",0,82,18,100,11,"shattbulb"
"79",0,91,9,100,11,"shattbulb"
"80",0,9,91,100,11,"shattbulb"
"81",71,29,0,100,7,"shattbulb"
"82",0,73,27,100,11,"shattbulb"
"83",0,73,27,100,11,"shattbulb"
"84",0,100,0,100,11,"shattbulb"
"85",36,55,9,100,11,"shattbulb"
"86",0,100,0,100,11,"shattbulb"
"87",100,0,0,100,7,"shattbulb"
"88",71,14,14,99,7,"shattbulb"
"90",0,91,9,100,11,"shattbulb"
"91",0,82,18,100,11,"shattbulb"
"92",45,18,36,99,11,"shattbulb"
"93",0,82,18,100,11,"shattbulb"
"94",83,17,0,100,6,"shattbulb"
"95",86,14,0,100,7,"shattbulb"
"96",0,100,0,100,11,"shattbulb"
"98",50,25,25,100,8,"shattbulb"
"99",67,33,0,100,6,"shattbulb"
