"New Flake ID","Bulbar","Concave","Flat","Twisted","Very.concave","Sum","N Analysts","variable"
"1",64,9,18,0,9,100,11,"ventral plan form"
"2",43,43,14,0,0,100,7,"ventral plan form"
"3",40,30,30,0,0,100,10,"ventral plan form"
"4",45,45,9,0,0,99,11,"ventral plan form"
"5",40,50,10,0,0,100,10,"ventral plan form"
"6",18,9,73,0,0,100,11,"ventral plan form"
"7",36,0,64,0,0,100,11,"ventral plan form"
"8",36,64,0,0,0,100,11,"ventral plan form"
"9",36,18,45,0,0,99,11,"ventral plan form"
"10",20,40,40,0,0,100,5,"ventral plan form"
"11",0,64,36,0,0,100,11,"ventral plan form"
"12",36,55,9,0,0,100,11,"ventral plan form"
"13",55,18,27,0,0,100,11,"ventral plan form"
"14",55,36,9,0,0,100,11,"ventral plan form"
"15",36,18,45,0,0,99,11,"ventral plan form"
"16",0,55,0,27,18,100,11,"ventral plan form"
"17",10,60,30,0,0,100,10,"ventral plan form"
"18",0,9,82,0,9,100,11,"ventral plan form"
"19",45,55,0,0,0,100,11,"ventral plan form"
"20",27,36,27,9,0,99,11,"ventral plan form"
"21",9,27,18,45,0,99,11,"ventral plan form"
"22",0,91,0,0,9,100,11,"ventral plan form"
"23",45,18,18,18,0,99,11,"ventral plan form"
"24",17,33,50,0,0,100,6,"ventral plan form"
"25",27,64,9,0,0,100,11,"ventral plan form"
"26",36,27,36,0,0,99,11,"ventral plan form"
"27",11,44,22,11,11,99,9,"ventral plan form"
"28",20,40,40,0,0,100,10,"ventral plan form"
"29",40,30,30,0,0,100,10,"ventral plan form"
"30",55,9,36,0,0,100,11,"ventral plan form"
"31",55,36,9,0,0,100,11,"ventral plan form"
"32",27,64,9,0,0,100,11,"ventral plan form"
"33",27,27,45,0,0,99,11,"ventral plan form"
"34",36,45,0,0,18,99,11,"ventral plan form"
"35",9,82,9,0,0,100,11,"ventral plan form"
"36",0,91,0,0,9,100,11,"ventral plan form"
"37",36,55,9,0,0,100,11,"ventral plan form"
"38",36,36,27,0,0,99,11,"ventral plan form"
"39",36,18,45,0,0,99,11,"ventral plan form"
"40",0,45,45,9,0,99,11,"ventral plan form"
"41",0,73,27,0,0,100,11,"ventral plan form"
"42",0,43,57,0,0,100,7,"ventral plan form"
"43",27,45,27,0,0,99,11,"ventral plan form"
"44",27,18,55,0,0,100,11,"ventral plan form"
"45",45,36,18,0,0,99,11,"ventral plan form"
"46",27,27,45,0,0,99,11,"ventral plan form"
"47",14,57,29,0,0,100,7,"ventral plan form"
"48",25,50,25,0,0,100,4,"ventral plan form"
"49",18,55,27,0,0,100,11,"ventral plan form"
"50",25,50,25,0,0,100,4,"ventral plan form"
"51",27,9,64,0,0,100,11,"ventral plan form"
"52",12,38,38,12,0,100,8,"ventral plan form"
"53",70,0,30,0,0,100,10,"ventral plan form"
"54",9,27,64,0,0,100,11,"ventral plan form"
"55",10,20,60,10,0,100,10,"ventral plan form"
"56",64,0,36,0,0,100,11,"ventral plan form"
"57",36,0,64,0,0,100,11,"ventral plan form"
"58",27,64,9,0,0,100,11,"ventral plan form"
"59",64,18,9,9,0,100,11,"ventral plan form"
"60",27,55,18,0,0,100,11,"ventral plan form"
"61",45,36,18,0,0,99,11,"ventral plan form"
"62",55,27,9,9,0,100,11,"ventral plan form"
"63",0,0,100,0,0,100,10,"ventral plan form"
"64",45,0,55,0,0,100,11,"ventral plan form"
"65",55,9,36,0,0,100,11,"ventral plan form"
"66",45,18,36,0,0,99,11,"ventral plan form"
"67",0,9,91,0,0,100,11,"ventral plan form"
"68",27,55,18,0,0,100,11,"ventral plan form"
"69",36,45,9,0,9,99,11,"ventral plan form"
"70",0,73,9,0,18,100,11,"ventral plan form"
"71",36,55,9,0,0,100,11,"ventral plan form"
"72",73,0,27,0,0,100,11,"ventral plan form"
"73",64,27,9,0,0,100,11,"ventral plan form"
"74",55,27,9,9,0,100,11,"ventral plan form"
"75",27,64,9,0,0,100,11,"ventral plan form"
"76",40,40,0,10,10,100,10,"ventral plan form"
"77",18,64,9,0,9,100,11,"ventral plan form"
"78",36,55,9,0,0,100,11,"ventral plan form"
"79",45,18,36,0,0,99,11,"ventral plan form"
"80",0,55,0,0,45,100,11,"ventral plan form"
"81",40,20,40,0,0,100,5,"ventral plan form"
"82",27,64,9,0,0,100,11,"ventral plan form"
"83",36,18,45,0,0,99,11,"ventral plan form"
"84",18,73,0,0,9,100,11,"ventral plan form"
"85",0,27,9,64,0,100,11,"ventral plan form"
"86",27,9,64,0,0,100,11,"ventral plan form"
"87",20,60,20,0,0,100,5,"ventral plan form"
"88",20,60,20,0,0,100,5,"ventral plan form"
"90",9,73,9,0,9,100,11,"ventral plan form"
"91",55,9,36,0,0,100,11,"ventral plan form"
"92",10,20,40,30,0,100,10,"ventral plan form"
"93",0,91,0,0,9,100,11,"ventral plan form"
"94",25,50,25,0,0,100,4,"ventral plan form"
"95",40,0,20,20,20,100,5,"ventral plan form"
"96",18,0,64,18,0,100,11,"ventral plan form"
"98",33,33,33,0,0,99,6,"ventral plan form"
"99",50,50,0,0,0,100,4,"ventral plan form"
